instant,dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp_day,atemp_day,hum_day,windspeed_day,casual_day,registered_day,cnt,hr,temp_hour,atemp_hour,hum_hour,windspeed_hour,casual_hour,registered_hour,year,month
1,2011-01-01,Winter,0,1,0,6,0,Mist,0.344167,0.363625,0.805833,0.160446,331,654,985,0,0.24,0.2879,0.81,0.0,3,13,2011,January
1,2011-01-01,Winter,0,1,0,6,0,Mist,0.344167,0.363625,0.805833,0.160446,331,654,985,1,0.22,0.2727,0.8,0.0,8,32,2011,January
1,2011-01-01,Winter,0,1,0,6,0,Mist,0.344167,0.363625,0.805833,0.160446,331,654,985,2,0.22,0.2727,0.8,0.0,5,27,2011,January
1,2011-01-01,Winter,0,1,0,6,0,Mist,0.344167,0.363625,0.805833,0.160446,331,654,985,3,0.24,0.2879,0.75,0.0,3,10,2011,January
1,2011-01-01,Winter,0,1,0,6,0,Mist,0.344167,0.363625,0.805833,0.160446,331,654,985,4,0.24,0.2879,0.75,0.0,0,1,2011,January
1,2011-01-01,Winter,0,1,0,6,0,Mist,0.344167,0.363625,0.805833,0.160446,331,654,985,5,0.24,0.2576,0.75,0.0896,0,1,2011,January
1,2011-01-01,Winter,0,1,0,6,0,Mist,0.344167,0.363625,0.805833,0.160446,331,654,985,6,0.22,0.2727,0.8,0.0,2,0,2011,January
1,2011-01-01,Winter,0,1,0,6,0,Mist,0.344167,0.363625,0.805833,0.160446,331,654,985,7,0.2,0.2576,0.86,0.0,1,2,2011,January
1,2011-01-01,Winter,0,1,0,6,0,Mist,0.344167,0.363625,0.805833,0.160446,331,654,985,8,0.24,0.2879,0.75,0.0,1,7,2011,January
1,2011-01-01,Winter,0,1,0,6,0,Mist,0.344167,0.363625,0.805833,0.160446,331,654,985,9,0.32,0.3485,0.76,0.0,8,6,2011,January
1,2011-01-01,Winter,0,1,0,6,0,Mist,0.344167,0.363625,0.805833,0.160446,331,654,985,10,0.38,0.3939,0.76,0.2537,12,24,2011,January
1,2011-01-01,Winter,0,1,0,6,0,Mist,0.344167,0.363625,0.805833,0.160446,331,654,985,11,0.36,0.3333,0.81,0.2836,26,30,2011,January
1,2011-01-01,Winter,0,1,0,6,0,Mist,0.344167,0.363625,0.805833,0.160446,331,654,985,12,0.42,0.4242,0.77,0.2836,29,55,2011,January
1,2011-01-01,Winter,0,1,0,6,0,Mist,0.344167,0.363625,0.805833,0.160446,331,654,985,13,0.46,0.4545,0.72,0.2985,47,47,2011,January
1,2011-01-01,Winter,0,1,0,6,0,Mist,0.344167,0.363625,0.805833,0.160446,331,654,985,14,0.46,0.4545,0.72,0.2836,35,71,2011,January
1,2011-01-01,Winter,0,1,0,6,0,Mist,0.344167,0.363625,0.805833,0.160446,331,654,985,15,0.44,0.4394,0.77,0.2985,40,70,2011,January
1,2011-01-01,Winter,0,1,0,6,0,Mist,0.344167,0.363625,0.805833,0.160446,331,654,985,16,0.42,0.4242,0.82,0.2985,41,52,2011,January
